repository,title,artifact_type,analysis_language,related_doi,related_pmid,data_availability,license_status,public_url,live_url,live_label,archived,default_branch,latest_release
reblocke/forensic_metascience,Forensic Metascience Replications,replication code,Python,,,Public replication data; consult source licenses.,MIT,https://github.com/reblocke/forensic_metascience,,,false,main,
reblocke/hickams-dictum,Hickam's Dictum,reproducible analysis,Stata,10.1007/s11606-024-09120-y,,See the repository for the public analysis data and reuse terms.,MIT,https://github.com/reblocke/hickams-dictum,,,false,master,
reblocke/Hypercap-Case-Definitions,Hypercapnic Respiratory Failure Case Definitions,reproducible analysis,Stata,10.1016/j.chest.2025.08.002,40885535,Restricted EHR-derived data are not public.,MIT,https://github.com/reblocke/Hypercap-Case-Definitions,,,false,main,v2.0.0
reblocke/Hypercap-CC-NLP,Hypercapnia Presenting-Concern NLP Study,reproducible NLP analysis,Python,10.64898/2026.07.03.26357242,,Restricted MIMIC-IV data are not public; access requires PhysioNet credentials and applicable approvals.,MIT,https://github.com/reblocke/Hypercap-CC-NLP,,,false,main,v0.1.1
reblocke/Hypercap-Trial-Adverse-Events,Hypercapnia Trial Adverse Events,reproducible analysis,Jupyter Notebook,,,Public trial-registry-derived data only.,MIT,https://github.com/reblocke/Hypercap-Trial-Adverse-Events,,,false,main,
reblocke/intro_clin_research,Introduction to Clinical Research,teaching site,,,,Teaching materials only.,MIT,https://github.com/reblocke/intro_clin_research,https://reblocke.github.io/intro_clin_research/,Teaching site,false,main,
reblocke/llm_estimate_lrs,LLM Estimation of Likelihood Ratios,research notebooks,Jupyter Notebook,10.1038/s41598-026-61766-2,42436230,Generated model outputs and literature-derived comparisons only.,MIT,https://github.com/reblocke/llm_estimate_lrs,,,false,main,v1.1.0
reblocke/NHPI-OSA-Burden,Native Hawaiian and Pacific Islander OSA Burden,reproducible analysis,Stata,10.5664/jcsm.10472,,Restricted clinical data are not public.,MIT,https://github.com/reblocke/NHPI-OSA-Burden,,,false,master,
reblocke/notebooks_dx_reasoning,Diagnostic Reasoning Notebooks,interactive teaching notebooks,Jupyter Notebook,,,Teaching examples only; no patient data.,MIT,https://github.com/reblocke/notebooks_dx_reasoning,,,false,main,
reblocke/NRH-SCI-Vent,Post-Acute Ventilator Weaning and Discharge Outcomes in Cervical Spinal Cord Injury,reproducible analysis,Stata,10.1177/19433654261428406,41823210,Restricted EHR data are not public.,MIT,https://github.com/reblocke/NRH-SCI-Vent,,,false,main,v0.3.0
reblocke/sodium_change,Sodium Change Probability,clinical teaching tool,Python,,,No patient data.,MIT,https://github.com/reblocke/sodium_change,,,false,main,
reblocke/sofa_resp_sim,SOFA Respiratory Score Simulation,simulation,Python,,,Simulation data only.,MIT,https://github.com/reblocke/sofa_resp_sim,https://reblocke.github.io/sofa_resp_sim/,Live tool,false,main,
reblocke/Splenectomy-PE,Splenectomy and Pulmonary Embolism,reproducible analysis,,10.1002/pul2.70231,41472662,Restricted clinical data are not public.,MIT,https://github.com/reblocke/Splenectomy-PE,,,false,main,
reblocke/stata-codex-skills,Stata Codex Skills,developer tool,Python,,,No clinical data.,MIT,https://github.com/reblocke/stata-codex-skills,,,false,main,
reblocke/StateVetsHome,State Veterans Home Goals-of-Care Analysis,legacy analysis code,Python,,,Sensitive goals-of-care data are not public.,Unconfirmed,https://github.com/reblocke/StateVetsHome,,,false,master,legacy-covid-goc-outputs-2026-06-04
reblocke/stewart-light,Stewart-Light Acid-Base Visualization,clinical teaching tool,Python,,,No patient data.,MIT,https://github.com/reblocke/stewart-light,,,false,main,
reblocke/tcco2-accuracy,Transcutaneous CO2 Accuracy,simulation and analysis,Python,,,Simulation outputs only; no patient-level data are published.,MIT,https://github.com/reblocke/tcco2-accuracy,https://reblocke.github.io/tcco2-accuracy/,Live tool,false,main,
reblocke/tele_crit_care,Tele-critical Care Transfers During COVID,research code,Stata,,,Restricted clinical operations data are not public.,MIT,https://github.com/reblocke/tele_crit_care,,,false,main,
reblocke/trinetx-preprocessing,TriNetX Preprocessing,data-processing tool,Python,,,No restricted export rows are published.,MIT,https://github.com/reblocke/trinetx-preprocessing,,,false,main,v0.2.0
reblocke/TriNetXHypercapnia,TriNetX Hypercapnia Analysis,legacy analysis code,Python,,,No restricted row-level TriNetX data are published.,Unconfirmed,https://github.com/reblocke/TriNetXHypercapnia,,,false,master,
reblocke/U-of-U-IM-Codes-and-Rapid-Responses,Code Blue and Rapid Response Leadership,teaching site,Quarto,,,Educational materials only.,MIT,https://github.com/reblocke/U-of-U-IM-Codes-and-Rapid-Responses,https://reblocke.github.io/U-of-U-IM-Codes-and-Rapid-Responses/,Teaching site,false,main,v2025.06
reblocke/vr_icu,Immersive Virtual Reality in the ICU,mixed-methods analysis,Stata,10.2196/62842,,Study materials and de-identified outputs only.,Unconfirmed,https://github.com/reblocke/vr_icu,,,false,main,
